date,temp,humidity,wind,radiation,rainfall,ET0
2/26/2025,25.49,28.77,1.18,18.0,0.05,5.734847458613689
2/27/2025,25.81,24.55,1.55,19.93,0.0,6.7439410381928395
2/28/2025,25.78,24.33,1.37,23.24,0.07,7.223314472295916
3/1/2025,26.83,25.59,1.29,22.33,0.0,7.032627512239935
3/2/2025,28.04,27.49,1.44,22.49,0.0,7.338859102083277
3/3/2025,28.54,27.45,1.34,24.64,0.0,7.751260302479162
3/4/2025,28.37,28.28,1.21,24.63,0.0,7.545368117116632
3/5/2025,27.71,19.71,1.37,25.69,0.0,8.157277494795714
3/6/2025,26.97,18.81,1.42,23.73,0.0,7.729221849724934
3/7/2025,27.61,19.06,1.46,24.7,0.0,8.070628614057611
3/8/2025,27.63,21.94,1.34,24.52,0.0,7.782829522548643
3/9/2025,28.21,23.77,1.23,23.09,0.0,7.34556693033397
3/10/2025,29.9,24.35,1.43,24.65,0.0,8.147778124868871
3/11/2025,30.86,21.05,1.67,23.98,0.0,8.581435876793094
3/12/2025,29.77,21.79,1.22,22.8,0.0,7.512362344682686
3/13/2025,29.89,20.49,1.31,25.13,0.0,8.21998410736898
3/14/2025,30.2,20.31,1.37,22.9,0.0,7.8519174879251326
3/15/2025,30.41,18.27,1.73,24.88,0.0,8.916677283913161
3/16/2025,28.72,15.03,1.6,26.46,0.0,8.951043090924031
3/17/2025,27.93,14.6,1.5,27.1,0.0,8.842503593757712
3/18/2025,26.71,11.64,1.4,27.85,0.0,8.77283708821641
3/19/2025,26.44,11.87,0.93,27.74,0.0,8.028966221863943
3/20/2025,27.91,15.05,1.17,25.81,0.0,8.074906784039143
3/21/2025,29.68,15.6,1.84,24.28,0.0,8.94732761615708
3/22/2025,29.3,19.09,1.74,21.98,0.0,8.104500047613822
3/23/2025,26.87,15.94,1.66,22.53,0.0,7.8836834634116935
3/24/2025,25.87,15.0,1.28,22.42,0.0,7.23134039818393
3/25/2025,27.53,18.06,1.19,26.07,0.0,8.023736320766302
3/26/2025,28.75,20.55,0.97,26.57,0.0,7.9184912881782346
3/27/2025,29.98,17.87,0.72,22.54,0.0,6.798917545657672
3/28/2025,31.1,15.11,0.88,25.55,0.0,7.940930408048687
3/29/2025,29.31,17.63,1.03,26.36,0.0,8.099200818767875
3/30/2025,31.28,15.15,0.75,26.01,0.0,7.845517584447769
3/31/2025,30.51,18.99,1.01,26.3,0.0,8.163351609842053
4/1/2025,29.27,21.11,0.86,22.82,0.0,6.949992782949098
4/2/2025,28.79,18.63,1.0,20.61,0.0,6.670328808578703
4/3/2025,28.63,13.99,1.62,21.5,0.0,7.937737186146931
4/4/2025,28.19,11.03,1.24,26.8,0.0,8.553025257242604
4/5/2025,28.44,11.86,0.89,24.81,0.0,7.563743145755654
4/6/2025,29.16,13.91,0.95,25.47,0.0,7.847553941641403
4/7/2025,30.72,16.06,1.05,25.32,0.0,8.10221190248571
4/8/2025,31.74,21.61,0.87,23.58,0.02,7.376919108342066
4/9/2025,31.21,27.41,0.85,21.31,0.0,6.6303484376990465
4/10/2025,31.49,24.13,1.32,19.7,0.0,7.0708079269522655
4/11/2025,30.97,20.55,1.75,17.08,0.0,7.204759887868153
4/12/2025,29.71,17.77,1.61,24.61,0.0,8.604966619927698
4/13/2025,28.4,15.64,1.32,24.83,0.0,8.127403623035727
4/14/2025,29.01,14.99,1.24,25.31,0.0,8.216172916975484
4/15/2025,29.42,17.32,1.11,26.43,0.0,8.256555484645752
4/16/2025,31.05,20.32,1.1,25.4,0.0,8.119588571665178
4/17/2025,31.99,20.65,1.03,22.65,0.0,7.46302735032912
4/18/2025,31.29,14.15,1.6,27.16,0.0,9.529963276962947
4/19/2025,29.93,10.94,1.32,27.32,0.0,9.043427236803
4/20/2025,30.62,13.27,0.91,27.8,0.0,8.505121142112602
4/21/2025,30.44,16.22,1.14,27.68,0.0,8.747112472782332
4/22/2025,31.2,15.9,1.25,26.79,0.0,8.82314389780931
4/23/2025,32.16,21.3,0.9,26.58,0.0,8.184605480373898
4/24/2025,32.06,18.92,1.15,27.28,0.0,8.793405459967582
4/25/2025,31.84,15.49,1.38,23.17,0.0,8.298109101046219
4/26/2025,31.73,16.53,1.43,18.44,0.0,7.249786287156863
4/27/2025,31.44,18.05,1.39,21.05,0.0,7.691681666479593
4/28/2025,32.91,30.39,0.92,24.66,0.0,7.61206084743373
4/29/2025,33.93,28.15,0.78,21.31,0.0,6.736736201453473
4/30/2025,33.34,32.52,0.93,22.46,0.0,7.085708193595622
5/1/2025,32.42,36.58,1.33,21.03,0.0,7.060710273556396
5/2/2025,31.93,28.41,1.33,17.68,0.0,6.520526409689332
5/3/2025,30.71,15.47,1.51,19.88,0.0,7.627278591239924
5/4/2025,30.05,19.33,1.08,20.07,0.0,6.784177195636251
5/5/2025,30.38,17.65,1.15,22.64,0.0,7.563876960924436
5/6/2025,30.87,16.49,1.38,26.04,0.0,8.791670087105853
5/7/2025,31.18,19.33,1.18,26.49,0.0,8.536671649313154
5/8/2025,31.1,18.72,1.22,26.67,0.0,8.64741637123973
5/9/2025,31.05,14.16,1.24,27.98,0.0,9.115214726923954
5/10/2025,31.1,14.12,1.09,27.37,0.0,8.739743579888358
5/11/2025,31.9,15.29,1.07,27.23,0.0,8.73889712724005
5/12/2025,32.75,15.4,1.12,27.17,0.0,8.906842136092603
5/13/2025,32.99,15.58,1.19,26.82,0.0,8.965926516619025
5/14/2025,33.39,33.25,0.93,24.68,0.01,7.604818746392011
5/15/2025,34.29,37.18,1.21,14.97,0.87,5.622421315837627
5/16/2025,31.98,41.78,1.17,20.04,1.29,6.434519669868216
5/17/2025,30.57,45.02,1.36,13.8,0.21,4.987637532076142
5/18/2025,32.77,37.33,1.01,20.63,0.0,6.580400394529515
5/19/2025,32.81,31.38,1.09,23.61,0.0,7.560236277433507
5/20/2025,33.85,25.42,0.91,17.06,0.0,5.973333548210918
5/21/2025,33.24,33.82,1.08,24.15,0.26,7.646951618096653
5/22/2025,33.54,25.6,1.09,24.51,0.01,8.015841133233842
5/23/2025,33.11,20.3,1.15,24.91,0.0,8.317245745959195
5/24/2025,32.6,20.03,0.89,21.79,0.0,7.102902726542684
5/25/2025,32.97,37.01,1.31,21.89,0.03,7.276555304608267
5/26/2025,34.03,27.94,1.14,22.67,0.0,7.631101013678254
5/27/2025,32.91,32.2,1.06,22.95,0.05,7.3498662421134435
5/28/2025,33.03,40.74,1.05,24.77,0.8,7.540429822188657
5/29/2025,33.24,42.31,1.25,20.55,0.23,6.739423867930417
5/30/2025,32.77,41.67,1.08,24.61,0.11,7.484036472086758
5/31/2025,33.43,40.25,0.94,24.44,0.0,7.386441408567224
6/1/2025,34.09,39.47,1.1,20.6,0.03,6.737673296373034
6/2/2025,30.77,51.63,1.37,23.24,0.12,6.918602504285783
6/3/2025,27.5,63.46,1.01,13.0,8.5,3.7686047591458074
6/4/2025,29.81,51.47,0.75,20.98,0.08,5.819078353186777
6/5/2025,31.53,37.7,1.21,25.14,0.0,7.741181607482937
6/6/2025,31.67,27.09,0.85,24.98,0.0,7.546153179168548
6/7/2025,32.16,33.4,0.9,25.26,0.01,7.582263606760576
6/8/2025,32.64,40.81,1.17,24.61,0.45,7.594577488683149
6/9/2025,33.05,38.18,0.83,24.32,0.53,7.241650782921474
6/10/2025,33.07,43.3,0.83,25.03,0.0,7.299269167937181
6/11/2025,32.08,40.6,0.97,22.93,0.0,6.929799624008181
6/12/2025,32.4,42.35,0.97,24.84,0.0,7.365928270997826
6/13/2025,31.83,47.28,1.2,21.34,0.0,6.584238545173721
6/14/2025,31.98,46.47,1.09,20.21,0.07,6.251243518758943
6/15/2025,29.67,58.66,1.23,24.34,2.67,6.731597560709896
6/16/2025,31.37,50.84,0.99,22.79,0.0,6.589489459887119
6/17/2025,32.24,46.19,1.02,23.64,0.0,7.01751720177999
6/18/2025,31.56,46.23,0.87,16.13,0.0,5.037570318631999
6/19/2025,32.11,45.67,0.94,24.21,0.03,7.074969628148191
6/20/2025,32.35,40.29,0.96,24.63,0.02,7.353305695654962
6/21/2025,32.56,38.05,1.0,22.01,0.02,6.857422908707484
6/22/2025,32.33,41.9,0.76,25.08,0.02,7.199489729815044
6/23/2025,32.61,40.74,0.86,19.26,0.0,5.970361127280233
6/24/2025,32.61,39.24,0.87,24.58,0.01,7.28813801263022
6/25/2025,32.85,38.19,0.68,24.59,0.0,7.105015836052327
6/26/2025,32.41,37.02,0.81,21.56,0.0,6.52566346187943
6/27/2025,32.68,42.49,0.78,23.24,0.0,6.7977576197801515
6/28/2025,32.81,42.19,0.87,23.48,0.02,6.9739509046069355
6/29/2025,30.7,55.61,1.17,20.82,6.17,6.084368438028122
6/30/2025,28.44,63.24,0.72,12.71,2.37,3.577284481536742
7/1/2025,27.97,61.04,0.65,17.25,3.74,4.5806601573379275
7/2/2025,29.36,53.62,0.45,22.96,0.46,5.971458766601714
7/3/2025,30.08,51.1,0.58,22.23,0.19,5.994821027006853
7/4/2025,28.8,58.24,0.66,11.24,0.41,3.3000641177486956
7/5/2025,28.08,62.33,0.63,16.42,5.75,4.36432679826138
7/6/2025,28.57,58.99,0.52,19.17,0.91,5.008960863764073
7/7/2025,28.97,57.65,0.43,13.17,0.46,3.5755552562828425
7/8/2025,30.77,47.34,0.53,18.25,0.18,5.1051002556431655
7/9/2025,30.52,50.09,0.87,23.21,0.38,6.528069346541131
7/10/2025,30.39,51.18,0.83,21.12,0.15,5.972116772071762
7/11/2025,29.29,57.27,0.83,20.09,2.92,5.516405785392067
7/12/2025,28.21,59.59,0.72,19.68,0.75,5.221604034808795
7/13/2025,26.09,69.79,0.27,11.37,15.0,2.814816998697403
7/14/2025,28.43,59.64,0.34,23.63,0.08,5.9208718435958145
7/15/2025,30.4,49.7,0.69,22.14,0.0,6.118570981296685
7/16/2025,30.55,51.01,0.62,12.13,0.02,3.6745340874883703
7/17/2025,28.53,59.1,0.76,15.76,1.57,4.38467227780561
7/18/2025,28.21,62.06,0.56,23.19,4.47,5.8955846475788105
7/19/2025,30.02,53.5,0.4,19.64,0.87,5.188981075301659
7/20/2025,30.67,51.33,0.37,21.25,0.73,5.613806357393541
7/21/2025,30.36,53.71,0.42,24.54,3.09,6.400146941002966
7/22/2025,29.28,58.56,0.49,23.11,2.02,5.968461952513295
7/23/2025,28.22,65.2,0.43,16.08,5.58,4.135144176663294
7/24/2025,26.54,71.77,0.33,19.34,8.77,4.67984592125505
7/25/2025,26.9,69.98,0.39,18.48,4.97,4.543106012956479
7/26/2025,28.53,62.28,0.25,22.87,0.77,5.676461554689582
7/27/2025,28.05,64.1,0.59,15.52,1.13,4.104217092105964
7/28/2025,27.78,63.87,0.33,19.51,3.36,4.8661522074869605
7/29/2025,29.41,58.43,0.36,25.13,0.16,6.375534066632795
7/30/2025,29.65,57.99,0.35,11.64,0.34,3.1698558753438957
7/31/2025,28.37,62.0,0.37,11.35,3.76,3.028594449981416
8/1/2025,27.96,63.18,0.26,16.52,3.23,4.139260254988957
8/2/2025,28.24,61.54,0.33,19.37,0.02,4.882651630950469
8/3/2025,29.45,55.79,0.31,20.87,0.15,5.350688618580637
8/4/2025,29.36,55.45,0.31,23.13,2.16,5.8870998768571265
8/5/2025,27.8,63.59,0.32,17.5,0.79,4.394021857154212
8/6/2025,29.03,55.01,0.27,22.91,1.24,5.784332914357879
8/7/2025,28.3,57.81,0.33,16.66,3.73,4.280802717348324
8/8/2025,29.33,55.73,0.4,20.0,0.89,5.206313168057708
8/9/2025,28.35,60.85,0.36,14.91,2.98,3.8671646558449018
8/10/2025,29.5,55.29,0.31,25.84,0.26,6.546586204921845
8/11/2025,29.26,54.34,0.32,19.78,2.71,5.0984061102720375
8/12/2025,28.77,61.81,0.24,20.05,2.82,5.018848133286113
8/13/2025,26.62,73.65,0.29,12.1,40.12,2.9866427700365206
8/14/2025,26.23,72.43,0.19,16.76,4.45,4.013606758375364
8/15/2025,25.35,77.71,0.35,12.76,6.02,3.0708012661665647
8/16/2025,27.36,67.21,0.21,21.43,1.2,5.20622221545202
8/17/2025,26.46,69.4,0.25,7.98,4.32,2.0378408468725877
8/18/2025,27.15,66.84,0.22,16.92,1.67,4.143633043893515
8/19/2025,27.68,65.86,0.25,21.56,1.46,5.284421769213809
8/20/2025,27.74,66.39,0.24,11.0,2.08,2.796412873419027
8/21/2025,28.45,63.89,0.19,23.15,0.61,5.69620205721115
8/22/2025,28.37,63.41,0.29,22.88,0.88,5.680794423241376
8/23/2025,28.84,62.15,0.27,23.37,3.52,5.8294926933759115
8/24/2025,26.53,73.41,0.24,12.08,5.8,2.9586861336904127
8/25/2025,26.08,74.73,0.18,15.76,5.57,3.7600352009418545
8/26/2025,26.34,67.91,0.27,13.81,1.01,3.3996337545223883
8/27/2025,25.99,69.82,0.29,17.08,0.5,4.127836550489524
8/28/2025,27.34,66.4,0.28,23.97,0.0,5.832907481519747
8/29/2025,28.53,61.14,0.24,22.17,0.0,5.511785608910996
8/30/2025,27.09,69.91,0.25,14.02,7.35,3.4601632791323196
8/31/2025,27.27,65.53,0.22,18.79,0.18,4.595565547614459
9/1/2025,27.68,66.48,0.26,23.03,0.06,5.629894565822859
9/2/2025,27.15,70.49,0.19,7.41,1.44,1.881125853968393
9/3/2025,25.87,74.91,0.26,19.78,1.19,4.694008173590969
9/4/2025,26.09,74.04,0.2,20.16,1.34,4.786532580839925
9/5/2025,28.3,64.57,0.27,18.02,0.66,4.508526146613932
9/6/2025,28.29,62.04,0.27,23.07,0.65,5.719224383930157
9/7/2025,29.51,56.33,0.23,24.59,0.02,6.183609862082965
9/8/2025,29.39,56.18,0.23,18.99,1.82,4.830332920165669
9/9/2025,27.34,70.1,0.26,18.98,3.56,4.6343518364533445
9/10/2025,26.74,73.0,0.2,18.78,3.73,4.512711989419604
9/11/2025,26.3,72.47,0.25,14.81,2.41,3.589093186740534
9/12/2025,29.33,56.7,0.24,24.65,0.06,6.189363681120564
9/13/2025,27.6,68.24,0.21,15.12,7.3,3.731582121108277
9/14/2025,27.86,64.48,0.25,25.68,2.77,6.275614644656816
9/15/2025,28.75,59.31,0.31,10.96,0.46,2.927318770228423
9/16/2025,27.04,69.69,0.24,15.62,3.68,3.827291125467761
9/17/2025,28.25,64.82,0.23,25.01,0.84,6.137346618491867
9/18/2025,29.94,54.12,0.29,24.55,0.01,6.265599824752661
9/19/2025,29.91,53.5,0.23,24.38,0.2,6.179574893105692
9/20/2025,30.24,51.12,0.24,23.44,0.08,5.99889444556589
9/21/2025,29.75,55.99,0.27,20.4,0.0,5.224275397887843
9/22/2025,30.17,52.28,0.3,23.78,0.01,6.119548141834365
9/23/2025,28.88,56.49,0.18,12.22,1.38,3.136470992909569
9/24/2025,26.15,70.51,0.28,19.74,6.21,4.738909330843728
9/25/2025,27.23,66.93,0.26,22.08,10.69,5.372004346663237
9/26/2025,27.36,68.78,0.25,22.59,5.34,5.484496541508734
9/27/2025,27.14,72.45,0.27,23.65,6.84,5.697204020965298
9/28/2025,29.18,58.99,0.32,22.8,0.0,5.773008412255514
9/29/2025,29.27,53.78,0.32,22.88,0.01,5.842497439023476
9/30/2025,29.56,49.01,0.35,23.66,0.0,6.1174878270943385
10/1/2025,30.14,51.09,0.3,22.67,0.03,5.859296848720389
10/2/2025,29.53,56.93,0.27,20.03,0.48,5.114952539909744
10/3/2025,29.68,51.58,0.34,25.13,0.04,6.44582551860806
10/4/2025,29.67,48.23,0.32,25.01,0.0,6.428454564476454
10/5/2025,28.36,58.66,0.36,21.98,6.2,5.5489252144681585
10/6/2025,27.13,65.42,0.36,17.76,10.84,4.4209844224485275
10/7/2025,27.95,56.36,0.29,24.18,0.4,6.008500538199935
10/8/2025,28.29,54.67,0.31,24.4,0.0,6.113773168042337
10/9/2025,29.33,54.14,0.33,22.95,0.13,5.868264351884041
10/10/2025,28.41,61.03,0.29,13.07,4.54,3.3833508922744193
10/11/2025,29.28,55.39,0.32,23.99,0.47,6.094172371193735
10/12/2025,28.79,54.43,0.41,16.25,0.01,4.309455970097629
10/13/2025,28.21,54.15,0.38,22.63,0.19,5.747263600114869
10/14/2025,28.56,49.26,0.37,22.73,0.0,5.8367145557634705
10/15/2025,27.54,44.94,0.41,24.06,0.0,6.14452653840561
10/16/2025,27.77,39.11,0.39,23.48,0.0,6.068644394367647
10/17/2025,27.54,44.44,0.44,23.68,0.0,6.089836426759716
10/18/2025,26.71,43.93,0.45,24.08,0.0,6.124705253946041
10/19/2025,27.85,36.09,0.49,23.58,0.0,6.243930212493886
10/20/2025,27.98,34.39,0.4,24.28,0.0,6.3317351500501085
10/21/2025,27.7,31.75,0.55,24.12,0.0,6.482923533943234
10/22/2025,27.27,32.59,0.53,24.34,0.0,6.457768031982264
10/23/2025,27.01,37.57,0.52,20.91,0.0,5.575394165266872
10/24/2025,26.15,31.08,0.47,24.41,0.0,6.316098115695296
10/25/2025,26.6,30.79,0.5,24.12,0.0,6.3321592780227745
10/26/2025,25.56,33.02,0.49,24.44,0.0,6.266433160704146
10/27/2025,26.17,31.91,0.54,23.51,0.0,6.187029406434593
10/28/2025,26.54,31.66,0.51,16.31,0.0,4.558482304933127
10/29/2025,26.57,30.72,0.49,23.39,0.0,6.152425281140946
10/30/2025,25.74,28.46,0.5,22.95,0.0,6.016783171233112
10/31/2025,24.74,31.22,0.51,23.11,0.0,5.9362937020242255
11/1/2025,24.7,30.79,0.43,23.8,0.0,5.998785820792244
11/2/2025,24.18,29.93,0.46,24.42,0.0,6.1282709165470575
11/3/2025,25.04,28.19,0.5,23.79,0.0,6.1407066599412765
11/4/2025,25.91,30.95,0.51,22.84,0.0,5.989254856368384
11/5/2025,26.32,31.26,0.54,22.09,0.0,5.889952903847036
11/6/2025,26.34,32.58,0.54,21.68,0.0,5.781802308315919
11/7/2025,26.64,31.44,0.62,21.56,0.0,5.894139740256374
11/8/2025,26.3,24.61,0.57,20.91,0.0,5.7524927493057065
11/9/2025,25.88,30.39,0.51,22.8,0.0,5.984517170724209
11/10/2025,26.53,35.85,0.63,22.39,0.0,6.014282317807897
11/11/2025,26.32,30.34,0.71,23.18,0.0,6.351581483339707
11/12/2025,24.69,23.64,0.76,23.2,0.0,6.362933857679704
11/13/2025,24.24,29.56,0.57,20.78,0.0,5.4697540997869325
11/14/2025,25.7,33.93,0.74,19.05,0.0,5.3529288045610395
11/15/2025,24.22,31.11,0.84,20.08,0.0,5.600919594237371
11/16/2025,22.71,27.85,0.8,22.16,0.0,5.895255392983901
11/17/2025,22.38,27.74,0.75,22.27,0.0,5.829553682301173
11/18/2025,22.92,31.27,0.68,22.38,0.0,5.7799292383459635
11/19/2025,24.48,32.93,0.63,22.32,0.0,5.847621733717844
11/20/2025,25.5,31.44,0.75,22.62,0.0,6.171778786247381
11/21/2025,25.13,29.47,0.63,22.76,0.0,6.059655207291452
11/22/2025,24.02,24.44,0.71,20.53,0.0,5.642518452509831
11/23/2025,23.37,22.09,0.63,19.15,0.0,5.217851992682175
11/24/2025,23.25,23.39,0.75,22.12,0.0,5.967126580476942
11/25/2025,23.57,25.62,0.72,20.1,0.0,5.4991362290498955
11/26/2025,24.51,30.72,0.69,20.1,0.0,5.470446009205682
11/27/2025,25.51,31.45,0.66,21.45,0.0,5.8127516347731225
11/28/2025,25.54,30.13,0.77,22.04,0.0,6.095679168644916
11/29/2025,25.57,26.75,0.85,22.03,0.0,6.257083204949245
11/30/2025,25.68,25.25,0.94,21.78,0.0,6.357747370009279
12/1/2025,24.71,26.13,0.85,18.97,0.0,5.5218571518052055
12/2/2025,25.02,26.52,0.69,17.71,0.0,5.065326744305571
12/3/2025,25.75,28.26,0.66,20.88,0.0,5.760064404002379
12/4/2025,26.22,27.17,0.6,18.66,0.0,5.245536132431162
12/5/2025,25.82,27.62,0.68,21.06,0.0,5.842003865533287
12/6/2025,24.95,27.45,1.07,20.74,0.0,6.159660785199235
12/7/2025,23.55,22.71,0.93,20.23,0.0,5.836776860195536
12/8/2025,23.25,22.53,0.88,18.82,0.0,5.452233652547757
12/9/2025,23.12,27.1,0.82,17.38,0.0,4.977832856940014
12/10/2025,22.08,29.73,0.75,16.28,0.0,4.52721093809073
12/11/2025,24.05,29.83,0.67,17.17,0.0,4.788022526248443
12/12/2025,25.27,33.8,0.77,19.99,0.0,5.5553437113939035
12/13/2025,25.64,33.99,1.02,19.79,0.0,5.817318871442067
12/14/2025,25.2,32.16,1.21,17.6,0.0,5.561769785341602
12/15/2025,23.93,23.96,1.15,17.02,0.0,5.455431525519963
12/16/2025,20.89,26.03,1.11,17.85,0.0,5.191170110410486
12/17/2025,20.57,27.1,1.02,20.06,0.0,5.469436041342007
12/18/2025,21.23,29.3,0.81,21.19,0.0,5.516807962725382
12/19/2025,22.39,27.52,0.79,21.47,0.0,5.711995152289688
12/20/2025,22.57,25.57,0.86,21.63,0.0,5.877993650662863
12/21/2025,22.97,23.8,0.83,21.66,0.0,5.928096405841459
12/22/2025,23.72,21.3,0.8,21.97,0.0,6.085973636850445
12/23/2025,23.75,21.92,0.82,21.97,0.0,6.10302133749954
12/24/2025,24.42,23.54,0.75,21.49,0.0,5.955095378301543
12/25/2025,24.8,24.24,0.81,20.88,0.0,5.9269101746765385
12/26/2025,25.16,24.84,0.89,21.35,0.0,6.154960232614808
12/27/2025,25.41,25.29,0.86,20.0,0.0,5.8425091304106616
12/28/2025,25.31,24.22,0.96,21.66,0.0,6.338914957720325
12/29/2025,25.17,23.29,1.03,21.78,0.0,6.457584312065168
12/30/2025,25.42,21.84,1.0,21.77,0.0,6.480287570432683
12/31/2025,24.94,20.94,0.95,20.56,0.0,6.122801387954433
