date,temp,humidity,wind,radiation
20250724,26.54,71.77,0.33,19.34
20250725,26.9,69.98,0.39,18.48
20250726,28.53,62.28,0.25,22.87
20250727,28.05,64.1,0.59,15.52
20250728,27.78,63.87,0.33,19.51
20250729,29.41,58.43,0.36,25.13
20250730,29.65,57.99,0.35,11.64
20250731,28.37,62.0,0.37,11.35
20250801,27.96,63.18,0.26,16.52
20250802,28.24,61.54,0.33,19.37
20250803,29.45,55.79,0.31,20.87
20250804,29.36,55.45,0.31,23.13
20250805,27.8,63.59,0.32,17.5
20250806,29.03,55.01,0.27,22.91
20250807,28.3,57.81,0.33,16.66
20250808,29.33,55.73,0.4,20.0
20250809,28.35,60.85,0.36,14.91
20250810,29.5,55.29,0.31,25.84
20250811,29.26,54.34,0.32,19.78
20250812,28.77,61.81,0.24,20.05
20250813,26.62,73.65,0.29,12.1
20250814,26.23,72.43,0.19,16.76
20250815,25.35,77.71,0.35,12.76
20250816,27.36,67.21,0.21,21.43
20250817,26.46,69.4,0.25,7.98
20250818,27.15,66.84,0.22,16.92
20250819,27.68,65.86,0.25,21.56
20250820,27.74,66.39,0.24,11.0
20250821,28.45,63.89,0.19,23.15
20250822,28.37,63.41,0.29,22.88
20250823,28.84,62.15,0.27,23.37
20250824,26.53,73.41,0.24,12.08
20250825,26.08,74.73,0.18,15.76
20250826,26.34,67.91,0.27,13.81
20250827,25.99,69.82,0.29,17.08
20250828,27.34,66.4,0.28,23.97
20250829,28.53,61.14,0.24,22.17
20250830,27.09,69.91,0.25,14.02
20250831,27.27,65.53,0.22,18.79
20250901,27.68,66.48,0.26,23.03
20250902,27.15,70.49,0.19,7.41
20250903,25.87,74.91,0.26,19.78
20250904,26.09,74.04,0.2,20.16
20250905,28.3,64.57,0.27,18.02
20250906,28.29,62.04,0.27,23.07
20250907,29.51,56.33,0.23,24.59
20250908,29.39,56.18,0.23,18.99
20250909,27.34,70.1,0.26,18.98
20250910,26.74,73.0,0.2,18.78
20250911,26.3,72.47,0.25,14.81
20250912,29.33,56.7,0.24,24.65
